Month,Day,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Jan,1,7,3,7,7,1,3,10,9,8,9,1,9,14,16,8,10,1,14,1,1,3,3,8,3,17,9,3,7,1,1,14,7,7,7,3,11,17,1,7,8,9,3,10,1,11,7,16,8,9,3,1,9,3,7,10,7,1,1,3,9,16,8,7,17,16,16,1,1,11,1
Jan,2,7,3,14,15,17,7,8,1,3,9,14,3,14,17,8,15,3,10,14,9,7,7,7,3,1,9,3,16,1,1,16,7,15,1,3,11,1,16,16,17,9,17,18,1,11,1,14,7,3,3,1,9,3,17,16,15,16,11,1,10,1,1,16,3,1,1,2,8,9,17
Jan,3,14,1,10,8,9,7,8,1,8,2,17,7,15,9,10,8,3,16,10,17,10,1,1,3,17,9,3,15,8,11,13,14,9,14,1,3,9,10,8,10,2,17,16,15,17,1,16,7,16,8,2,3,17,8,11,17,16,17,3,3,15,3,10,9,1,9,1,17,15,1
Jan,4,14,3,15,9,9,14,3,1,8,1,16,7,7,3,17,8,3,10,7,8,10,3,7,3,1,3,1,15,7,11,16,11,1,8,17,3,1,7,3,7,3,9,14,8,9,3,11,1,14,3,3,3,16,17,7,15,16,16,18,7,8,1,11,1,1,1,1,17,7,1
Jan,5,17,3,15,12,10,8,9,1,14,17,17,15,1,1,1,10,3,10,14,8,10,15,1,3,1,3,1,8,15,11,1,1,14,7,11,1,3,10,9,14,1,9,11,3,10,3,9,3,14,3,8,1,14,1,16,16,8,11,3,11,8,7,8,8,1,14,1,16,10,3
Jan,6,10,3,11,16,17,1,17,3,14,17,17,10,1,1,1,8,17,8,16,1,11,14,8,3,9,3,17,8,11,11,7,15,17,16,10,9,7,7,9,17,8,9,1,3,17,2,3,3,15,3,10,1,15,1,11,3,14,9,1,17,8,7,9,1,10,14,9,14,7,9
Jan,7,8,9,3,11,1,16,16,1,18,17,1,11,14,1,9,8,16,8,15,9,8,17,8,2,3,3,17,1,1,1,7,10,9,10,16,9,16,7,9,16,1,1,1,9,1,14,1,15,10,1,17,1,16,9,14,3,14,1,17,17,9,17,2,8,16,14,1,14,16,1
Jan,8,3,3,1,8,17,10,10,9,2,1,7,8,15,1,15,7,16,14,10,7,7,16,1,2,17,9,16,1,3,1,16,11,1,7,15,3,10,7,10,7,9,16,1,1,9,14,2,1,1,7,9,17,1,8,11,9,11,3,8,9,8,9,8,8,16,14,3,17,14,14
Jan,9,3,1,11,9,11,1,3,7,8,7,16,8,8,1,15,1,16,11,15,17,16,1,3,1,9,1,17,16,3,3,16,11,1,7,17,9,8,7,7,7,3,16,1,8,3,17,3,9,3,8,1,10,17,8,17,3,15,3,15,1,3,1,2,9,15,12,3,11,8,16
Jan,10,3,3,8,3,17,15,16,16,8,1,11,1,9,1,1,15,1,17,8,8,8,8,1,16,1,8,9,15,1,18,15,17,9,16,17,9,3,15,9,17,3,13,1,1,3,17,2,3,9,7,8,16,1,8,11,3,1,8,1,9,3,1,7,9,7,11,1,10,1,7
Jan,11,3,1,11,3,17,14,15,7,3,17,3,1,7,8,8,8,1,14,8,8,7,7,8,17,3,10,9,17,17,3,17,7,1,11,10,3,3,8,17,3,16,17,9,2,1,1,1,16,9,3,11,8,1,1,1,3,7,9,1,3,3,1,1,1,16,3,15,1,1,9
Jan,12,8,7,17,1,16,15,14,8,1,10,7,8,7,9,1,10,1,11,8,7,16,15,8,16,18,14,1,9,14,3,3,7,9,1,3,1,7,1,17,3,17,9,3,3,1,8,3,10,17,3,11,8,1,1,1,7,12,9,15,1,3,9,9,3,15,9,17,9,1,1
Jan,13,1,7,11,3,10,7,9,10,1,7,2,7,16,1,7,7,3,17,10,7,14,11,7,17,14,11,16,9,17,3,9,7,17,3,8,3,14,9,15,3,9,9,3,3,15,8,2,10,17,3,1,3,3,3,1,1,14,3,17,7,9,9,15,3,17,1,3,9,1,8
Jan,14,8,15,8,16,9,3,1,10,1,1,9,1,3,1,1,10,8,16,7,10,14,8,16,17,17,14,14,9,8,1,3,9,17,3,11,17,8,2,15,3,1,9,1,9,17,9,1,7,3,1,1,9,3,7,9,8,14,1,16,3,9,3,16,17,10,3,3,16,17,3
Jan,15,10,16,1,1,17,16,17,7,17,7,10,8,18,9,9,10,15,14,8,11,11,7,17,17,15,11,17,1,7,1,3,16,1,7,9,10,1,8,17,3,17,13,17,10,17,8,14,1,12,11,8,9,9,16,1,11,1,1,1,3,9,3,15,17,7,9,9,17,8,1
Jan,16,1,14,17,16,11,15,9,1,1,8,8,8,8,7,8,10,8,14,7,14,17,7,8,17,14,11,14,3,16,17,14,9,9,15,9,7,17,9,16,3,17,1,1,15,17,9,14,11,1,11,8,1,17,1,1,9,7,7,1,1,3,3,3,9,8,7,3,16,7,3
Jan,17,7,14,9,7,17,7,3,1,8,3,8,7,1,15,3,8,11,3,3,11,15,7,7,7,17,9,14,17,14,9,15,9,16,16,3,14,14,7,1,3,17,9,17,17,17,9,8,15,14,8,16,17,1,1,9,1,8,9,9,8,9,17,9,12,8,1,1,1,16,3
Jan,18,10,15,9,7,16,1,1,8,1,14,17,14,9,8,3,9,11,1,10,17,3,1,1,3,3,10,10,9,14,14,16,16,1,15,1,11,17,16,15,2,17,10,9,1,15,1,9,15,11,1,1,15,16,1,1,1,1,16,15,8,3,17,13,1,1,1,9,9,14,1
Jan,19,7,17,7,14,7,16,16,3,3,11,7,11,15,17,3,8,9,11,10,11,18,14,16,3,18,3,16,3,8,14,7,17,1,7,3,10,9,10,11,3,3,17,3,3,15,9,3,1,15,3,7,15,14,17,1,7,1,14,10,8,3,17,14,8,8,16,8,9,15,9
Jan,20,15,11,1,16,7,3,14,3,8,17,16,17,8,11,17,1,1,16,7,11,1,14,17,3,7,1,14,3,1,17,14,8,1,16,2,8,1,1,8,1,3,1,1,17,17,1,9,9,3,1,9,9,14,1,17,1,1,7,11,14,9,17,16,3,8,7,3,3,1,1
Jan,21,3,10,15,10,10,1,17,7,8,1,1,1,17,1,8,14,1,7,7,9,17,14,14,1,1,17,14,1,15,17,8,17,1,16,3,16,3,8,1,1,1,9,11,15,9,3,7,3,17,9,3,3,17,1,17,1,9,1,8,11,3,2,10,9,10,7,3,3,1,8
Jan,22,7,16,11,14,8,14,8,1,8,1,8,1,11,3,9,10,1,1,7,3,8,14,14,8,14,8,11,3,10,1,7,17,9,7,1,16,8,8,9,17,1,1,17,8,9,1,17,3,17,17,7,3,16,1,11,9,16,11,7,9,3,3,7,3,11,15,15,9,1,3
Jan,23,17,7,15,11,1,14,1,1,8,9,7,9,8,3,9,14,1,15,10,3,14,14,15,7,8,3,11,1,14,9,10,8,17,1,1,12,3,3,9,11,16,1,8,1,9,9,17,3,15,3,8,1,1,17,9,9,14,14,16,3,17,16,8,3,1,10,8,3,17,9
Jan,24,8,16,17,1,7,17,16,10,1,9,10,3,9,7,3,11,16,16,16,1,14,15,15,18,3,18,15,8,10,9,1,10,17,15,9,11,1,3,2,8,16,9,3,17,9,1,17,1,1,9,15,9,7,15,9,3,16,17,3,3,1,16,17,1,17,7,7,3,11,18
Jan,25,8,12,9,9,8,17,3,8,3,14,1,8,1,1,3,14,17,1,16,9,17,14,11,1,14,3,10,3,3,7,17,7,10,9,1,1,7,3,9,11,17,1,3,17,3,17,17,8,9,9,8,1,8,17,9,3,16,7,16,2,9,7,11,1,16,15,7,9,17,15
Jan,26,3,14,11,3,3,3,10,8,16,3,17,7,1,8,14,14,8,15,11,16,7,11,1,1,15,1,1,1,3,2,15,9,10,16,9,1,14,3,17,11,8,3,18,11,3,7,10,17,3,17,9,3,11,9,3,2,14,7,8,3,17,15,1,8,16,16,18,1,11,17
Jan,27,17,16,11,1,1,1,5,9,14,1,14,1,9,10,8,10,8,8,7,17,1,17,17,1,3,15,8,17,7,1,10,3,7,15,1,11,11,2,1,8,15,9,1,9,3,7,7,1,1,9,7,14,11,3,3,1,17,7,1,7,17,7,9,15,11,8,1,9,1,11
Jan,28,1,15,10,10,3,9,17,3,14,3,15,1,9,8,14,16,8,8,14,17,15,14,10,17,9,14,1,8,16,1,8,1,15,7,8,1,8,1,9,8,8,1,8,3,18,8,1,15,1,3,11,10,11,3,17,14,3,7,8,14,16,7,16,7,11,16,15,15,9,11
Jan,29,7,15,14,1,9,3,16,9,14,18,15,16,8,9,15,7,9,8,1,11,17,11,7,15,9,7,3,16,10,9,3,3,8,3,10,1,1,3,1,16,8,9,9,1,12,8,16,15,1,1,11,7,1,3,8,14,9,7,9,8,14,14,3,14,16,17,7,1,10,9
Jan,30,16,14,10,9,1,8,8,1,17,11,11,16,8,9,16,1,7,8,14,10,15,15,10,9,1,16,17,16,8,1,7,3,1,16,1,1,1,16,9,7,7,9,7,14,11,1,14,1,3,17,8,7,3,2,9,8,9,14,1,17,11,16,2,14,18,14,8,10,3,1
Jan,31,7,14,7,2,9,1,7,1,17,11,11,15,8,1,9,8,16,3,15,11,11,15,17,8,3,11,17,16,11,3,9,3,9,11,14,1,8,14,9,3,8,1,3,17,14,17,14,1,18,17,1,7,3,7,8,7,16,15,3,1,11,14,15,17,14,11,9,10,1,11
Feb,1,3,16,11,15,3,1,7,8,7,14,3,11,1,17,1,8,1,10,17,9,11,9,7,3,1,9,1,12,1,9,9,16,9,15,14,7,3,14,8,3,14,1,1,11,17,11,17,3,17,1,9,7,1,1,3,7,17,14,7,9,1,15,8,17,11,11,1,9,17,8
Feb,2,1,16,17,10,18,10,7,7,16,12,1,9,14,17,18,1,16,10,11,9,11,3,8,16,1,9,9,14,1,2,14,8,1,15,14,3,9,14,7,16,11,9,17,16,16,17,1,1,9,15,7,1,1,3,9,16,8,8,18,16,9,9,1,17,9,10,12,7,9,8
Feb,3,1,7,11,10,15,7,15,1,16,3,1,9,11,7,15,3,14,1,11,17,17,3,7,14,17,3,1,15,16,7,10,10,1,1,17,17,1,14,16,17,10,9,9,11,12,17,9,1,1,11,1,8,3,11,9,14,16,16,11,14,9,9,11,7,9,3,1,10,9,9
Feb,4,10,2,11,12,14,15,8,15,10,8,8,1,16,7,16,7,14,14,8,17,9,3,10,14,17,15,3,9,15,14,7,3,16,1,11,15,9,11,18,8,1,9,1,9,11,17,3,17,17,11,2,1,3,17,9,17,13,14,15,14,9,7,11,17,9,3,8,8,3,3
Feb,5,1,14,11,11,16,14,9,14,2,9,8,9,8,1,8,7,11,8,10,1,9,3,1,3,16,8,3,8,15,14,7,9,1,17,11,16,3,11,14,9,9,9,8,3,16,9,9,14,16,1,2,11,17,8,9,10,17,11,7,14,9,7,11,9,9,18,17,3,16,1
Feb,6,10,14,11,11,9,17,3,14,15,8,8,9,9,1,16,7,17,16,17,9,7,7,3,18,11,2,7,17,10,14,16,1,9,7,3,17,18,8,8,3,3,1,13,9,14,1,8,16,15,9,16,7,11,1,3,7,8,17,1,14,3,1,9,9,2,14,1,9,14,9
Feb,7,15,11,9,17,2,16,15,8,15,3,9,1,1,16,16,1,14,11,1,8,1,14,8,14,11,3,9,17,16,16,14,16,3,16,3,9,15,1,7,17,1,1,13,1,11,16,7,14,18,9,17,16,1,1,1,16,9,17,3,9,1,10,7,1,16,7,1,15,17,18
Feb,8,8,11,9,7,2,16,10,2,16,1,3,9,1,17,14,3,8,14,8,9,9,11,8,17,17,1,7,14,15,11,1,16,1,17,1,9,14,8,3,17,1,3,16,8,11,17,14,17,16,9,9,8,1,9,9,17,3,11,14,3,17,7,16,9,8,7,3,15,9,16
Feb,9,14,17,3,16,14,16,15,14,14,3,3,9,1,10,9,1,11,17,10,16,8,8,10,8,9,8,3,14,14,10,14,14,1,8,10,1,7,8,10,14,1,3,17,1,11,11,15,10,16,1,9,15,9,1,3,17,3,9,14,1,9,16,17,8,8,1,3,15,3,1
Feb,10,14,17,9,1,16,14,14,15,8,1,3,9,9,16,9,16,8,7,10,16,8,3,8,17,3,9,16,11,11,10,8,17,1,8,16,3,7,1,10,8,7,17,17,3,11,17,3,8,14,1,17,3,3,8,1,17,1,1,8,9,3,14,7,17,8,9,3,16,1,1
Feb,11,16,8,17,8,14,8,14,10,3,15,1,9,7,3,1,14,18,1,7,15,1,9,7,17,3,3,11,8,17,8,9,10,8,9,3,9,16,9,10,3,9,17,16,9,15,17,14,3,15,9,1,3,1,3,14,7,8,17,10,3,17,17,2,8,3,10,9,14,8,1
Feb,12,16,8,10,17,11,7,1,10,7,7,1,8,1,1,8,11,17,15,1,10,10,10,8,11,18,9,14,1,17,8,9,7,8,10,12,7,16,9,3,2,3,11,15,9,15,1,16,8,3,17,17,9,1,3,12,18,7,17,3,1,17,16,7,17,3,9,3,14,3,9
Feb,13,14,8,10,9,8,7,12,1,7,8,8,17,3,11,1,8,17,15,15,10,16,8,8,8,10,16,17,7,9,3,7,7,16,9,17,7,8,16,16,3,1,17,16,9,1,17,14,3,1,1,15,1,14,9,17,16,14,1,15,17,8,7,3,17,1,3,3,14,3,17
Feb,14,16,11,8,3,8,3,17,8,2,10,8,17,3,14,16,10,8,11,8,11,14,7,1,15,16,8,10,16,3,7,7,16,14,7,14,8,9,14,11,9,7,16,14,2,9,11,8,1,17,1,17,3,15,14,9,8,14,7,17,10,11,16,2,10,3,16,16,15,7,17
Feb,15,16,11,3,10,7,7,11,10,18,8,8,17,7,15,8,14,10,10,16,8,17,7,8,7,1,10,7,10,8,1,16,10,8,16,9,10,1,14,17,15,16,16,16,7,9,3,15,17,1,1,8,8,1,15,17,8,11,7,17,11,9,14,7,15,15,14,13,16,9,8
Feb,16,14,11,9,8,10,7,10,10,8,8,17,11,9,11,10,8,1,10,15,17,8,2,7,7,15,7,16,7,8,3,16,9,17,11,1,17,9,17,17,15,11,3,14,15,3,9,8,9,1,7,9,7,11,16,1,9,15,7,11,15,1,15,17,11,15,17,8,1,8,11
Feb,17,14,8,8,10,10,8,7,1,10,3,8,8,17,8,14,10,16,10,8,15,7,19,16,7,11,16,1,3,9,1,14,3,17,14,1,14,9,11,17,10,14,1,15,8,1,3,9,1,18,3,3,16,8,17,9,3,3,3,1,1,14,8,9,8,14,10,9,17,3,9
Feb,18,16,1,9,14,15,14,1,9,9,1,3,15,8,17,11,7,8,8,8,17,16,11,11,1,11,10,9,2,9,8,16,2,10,7,9,14,9,8,7,10,17,17,11,3,16,1,9,8,1,1,17,10,7,9,9,15,1,7,3,1,14,3,15,7,11,8,8,17,3,9
Feb,19,8,9,3,11,15,15,1,8,18,1,7,11,8,9,14,15,10,1,1,1,16,8,1,17,8,1,8,1,1,1,9,10,9,16,3,14,1,14,3,17,1,17,8,1,15,1,2,3,9,1,3,10,15,7,8,15,17,15,2,9,11,16,6,16,17,8,8,14,17,9
Feb,20,7,1,2,10,18,11,15,8,15,1,7,11,3,9,11,8,7,8,1,16,14,8,1,16,9,10,7,18,9,9,7,8,9,8,17,17,1,11,7,8,7,3,1,10,11,15,9,1,8,14,3,11,9,14,8,14,9,15,1,3,9,15,10,14,9,15,3,14,15,3
Feb,21,15,1,11,8,8,9,7,8,8,8,8,8,11,9,11,16,1,10,8,8,17,8,17,14,9,19,8,14,1,1,11,10,16,9,17,11,9,8,1,3,10,3,9,9,18,7,17,17,9,14,9,3,1,17,9,17,17,10,9,3,10,11,16,10,3,7,1,17,15,1
Feb,22,7,1,10,8,11,8,7,11,8,1,8,10,10,3,14,10,15,11,8,14,9,7,16,14,9,11,8,15,1,1,11,8,1,3,7,9,9,1,1,3,14,8,3,2,14,7,14,17,3,12,9,3,15,16,15,11,11,3,9,1,9,17,5,9,9,16,17,3,11,1
Feb,23,1,17,14,10,8,11,1,8,8,8,10,14,1,1,7,10,11,8,8,11,1,8,17,14,9,17,1,1,17,9,17,10,3,18,17,1,3,9,9,9,17,1,8,1,14,7,14,9,7,11,3,9,8,8,2,3,3,9,3,1,3,3,8,3,9,10,1,7,9,7
Feb,24,7,8,8,1,17,11,17,3,8,1,8,11,1,1,10,1,8,10,7,8,1,10,16,8,1,16,18,1,17,8,9,1,1,14,9,17,9,18,17,16,17,9,17,1,14,3,15,7,17,11,17,7,1,7,14,14,9,1,7,16,1,1,10,7,17,9,3,1,3,8
Feb,25,15,17,17,8,8,8,8,10,1,15,8,11,8,8,8,11,17,7,1,8,9,10,14,7,9,14,16,15,17,3,8,1,14,17,10,11,1,11,8,11,7,3,9,16,12,7,8,9,8,1,8,1,8,7,14,11,1,1,15,14,11,7,1,15,1,3,10,1,7,3
Feb,26,17,11,8,8,17,1,11,7,2,14,3,17,8,17,1,9,10,11,17,9,8,15,8,14,3,7,8,8,17,7,7,3,3,8,2,11,1,11,8,17,7,7,10,8,17,1,15,8,8,8,1,1,3,9,8,11,9,3,15,17,8,14,11,15,1,3,10,3,3,1
Feb,27,8,11,7,10,8,11,8,1,1,8,9,17,1,8,8,1,9,10,17,3,7,8,7,14,2,7,15,14,17,7,9,17,15,7,15,17,3,8,1,17,7,7,10,17,17,8,17,9,15,10,1,1,11,7,3,17,9,15,8,8,9,14,16,3,14,1,8,7,1,3
Feb,28,8,17,7,1,10,14,1,1,15,3,1,8,17,11,8,10,15,10,17,1,2,8,16,14,17,14,14,14,8,15,7,9,15,17,15,10,3,9,17,17,1,15,16,8,8,1,8,3,10,3,17,9,1,1,3,9,7,10,9,1,3,14,11,17,14,8,1,10,8,2
Feb,29,9,,,,15,,,,11,,,,5,,,,17,,,,16,,,,10,,,,8,,,,15,,,,10,,,,17,,,,1,,,,18,,,,3,,,,7,,,,1,,,,14,,,,3,
Mar,1,3,7,1,8,11,14,9,18,14,2,16,17,15,1,10,8,16,11,8,8,14,7,14,10,8,8,14,14,8,16,1,1,14,17,15,8,7,9,8,1,10,8,14,10,1,1,9,1,15,3,17,8,17,16,3,3,1,8,17,8,1,11,8,1,14,10,1,10,7,17
Mar,2,9,2,1,8,14,11,3,8,11,16,8,17,8,8,7,8,14,8,8,7,14,15,14,9,10,15,14,15,3,14,1,8,14,17,14,1,9,9,3,10,15,3,10,8,9,15,8,3,14,1,8,10,10,17,1,12,1,8,8,10,10,10,7,9,11,10,14,8,2,3
Mar,3,9,14,1,10,11,17,3,11,14,15,8,8,16,9,7,15,8,8,2,1,8,1,14,1,2,11,17,10,1,11,2,9,17,10,9,16,14,9,1,1,16,16,8,1,8,10,10,3,10,17,9,14,3,9,3,13,9,11,10,8,8,10,11,8,10,16,18,8,15,17
Mar,4,17,10,18,10,8,17,9,15,8,15,8,17,10,1,3,14,9,9,2,14,3,9,7,8,15,9,9,3,1,17,17,9,8,9,7,14,1,9,7,16,11,10,17,18,17,15,8,7,8,17,1,8,8,8,3,17,18,8,1,10,8,7,10,1,17,11,10,8,10,8
Mar,5,17,10,1,9,9,17,17,15,10,15,9,8,15,9,1,11,16,1,8,11,8,10,7,8,15,1,1,3,17,15,17,1,8,7,3,12,1,9,17,14,9,7,1,11,8,15,16,3,16,14,3,3,8,1,1,1,14,7,15,17,3,7,16,9,1,8,7,9,10,9
