Month,Day,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mar,6,17,8,15,3,1,14,17,15,8,14,10,8,14,1,1,11,15,10,9,14,10,8,3,8,8,17,1,8,10,8,10,2,9,3,1,17,18,9,1,8,1,1,17,11,8,18,14,16,14,17,8,3,17,1,3,14,17,7,9,8,3,7,10,16,15,9,10,3,1,1
Mar,7,1,10,11,3,9,11,10,10,15,17,18,9,11,8,19,9,8,15,1,8,10,15,9,8,1,11,3,9,9,15,9,15,2,1,10,9,15,9,9,14,19,17,8,8,1,14,17,10,14,8,17,3,11,1,3,8,8,10,18,9,9,18,9,15,1,3,3,7,1,1
Mar,8,17,10,11,1,14,17,10,7,11,10,14,9,8,8,15,9,9,10,8,9,17,15,18,10,8,9,3,3,2,9,7,14,17,3,16,8,9,9,1,17,1,8,9,17,1,16,17,7,17,1,8,1,11,17,3,3,9,14,16,17,3,16,7,14,1,12,3,1,1,7
Mar,9,17,14,11,8,15,3,16,18,10,1,8,8,19,8,15,8,8,15,9,3,15,8,15,7,8,3,1,7,1,1,2,8,10,3,11,8,18,9,17,16,14,8,9,8,9,8,17,1,10,1,7,8,3,17,4,17,9,15,17,1,15,15,2,14,3,17,15,1,19,2
Mar,10,1,11,17,10,11,18,8,15,10,17,8,1,17,9,11,8,10,8,19,1,15,17,14,15,8,3,9,8,9,17,14,8,1,1,17,3,15,3,10,11,14,8,3,3,9,8,17,9,8,1,7,8,15,8,3,1,8,11,8,9,17,10,9,11,9,15,15,3,8,1
Mar,11,8,11,8,4,14,15,8,15,8,17,8,1,11,1,10,8,15,8,15,1,10,8,14,11,15,1,9,8,7,8,15,8,1,15,8,8,11,1,1,17,11,10,17,1,3,11,11,8,8,3,16,1,8,3,3,1,10,8,3,17,1,1,7,8,9,7,10,3,1,16
Mar,12,8,17,8,8,15,11,1,11,8,11,3,16,8,8,1,8,14,8,15,8,16,8,8,11,15,16,3,8,14,8,15,3,11,10,9,1,8,1,1,17,1,1,16,16,3,8,14,8,10,9,8,1,8,1,1,11,8,8,1,5,10,1,10,9,1,2,17,15,9,14
Mar,13,17,10,8,8,10,8,1,17,3,14,15,8,17,15,17,9,11,9,8,8,15,8,8,14,17,1,1,8,15,9,14,10,10,16,16,17,14,1,9,14,17,14,17,15,17,9,17,8,10,1,8,10,8,1,17,17,8,1,16,11,11,15,10,9,16,5,11,7,18,10
Mar,14,11,1,10,8,18,15,8,14,15,14,8,1,10,10,1,15,3,9,7,8,11,8,8,11,16,2,2,3,8,1,11,9,1,10,7,16,15,1,1,17,9,14,9,10,17,17,8,7,1,17,8,10,9,1,8,10,8,1,16,14,11,11,19,8,14,9,17,9,14,10
Mar,15,14,9,8,8,14,8,9,15,15,17,10,3,8,11,18,14,15,1,7,10,9,10,7,10,17,8,8,1,7,1,9,9,1,10,7,17,15,1,1,8,8,14,9,9,8,1,8,15,1,15,18,17,1,10,10,3,9,8,8,14,8,8,5,9,11,19,10,15,11,17
Mar,16,11,12,8,8,15,9,1,15,11,8,7,8,8,8,15,11,10,3,8,10,8,16,1,7,14,8,10,17,15,1,3,1,1,8,15,17,1,1,1,16,3,15,9,9,1,1,8,14,8,14,14,8,3,10,1,1,9,9,1,17,3,8,5,8,11,15,16,8,8,8
Mar,17,8,17,8,3,11,3,15,14,5,10,8,8,9,8,10,17,1,1,15,15,8,18,14,14,8,8,16,15,10,17,8,2,14,3,8,9,11,8,1,11,3,10,9,1,3,1,7,10,15,14,14,7,1,3,17,1,1,1,1,17,1,9,8,3,9,17,15,1,8,1
Mar,18,14,10,8,1,8,11,11,10,8,8,8,8,1,3,10,9,15,15,1,10,8,15,14,10,10,7,17,17,3,14,8,15,11,9,8,3,15,8,1,10,10,8,9,17,16,17,1,10,11,14,14,1,15,3,10,14,8,1,10,10,8,1,8,7,9,8,8,1,8,17
Mar,19,8,8,8,1,10,14,1,10,3,8,8,1,1,1,15,1,15,8,14,1,8,14,11,8,18,1,8,10,14,10,3,1,10,14,8,9,10,10,8,8,15,8,1,1,17,10,1,8,8,11,17,15,7,3,15,14,8,10,17,10,8,10,1,1,3,1,1,17,7,15
Mar,20,7,10,17,10,18,11,1,10,5,1,8,1,3,8,5,16,15,9,11,10,17,15,10,8,17,10,17,7,14,1,15,7,17,14,10,14,9,10,8,1,14,10,1,1,17,8,1,8,15,7,17,15,1,3,15,17,8,10,10,19,8,1,9,1,3,1,15,8,17,17
Mar,21,17,18,15,15,14,11,19,9,8,19,16,1,15,8,9,10,8,8,11,14,8,15,16,9,11,11,1,8,10,1,10,9,10,8,10,14,9,10,9,1,8,17,1,15,17,8,8,1,15,2,7,14,1,8,11,15,8,10,15,9,8,1,8,8,1,9,1,15,8,10
Mar,22,17,19,8,8,15,11,2,8,11,17,8,17,15,7,18,7,9,15,17,14,9,14,14,1,8,11,1,18,1,3,7,8,1,8,10,17,18,18,19,1,8,1,1,17,17,8,1,8,15,15,8,8,15,8,5,15,3,10,10,7,15,10,1,8,8,14,1,8,8,1
Mar,23,11,15,17,1,1,11,15,8,5,17,14,8,15,7,15,1,8,11,8,15,3,11,8,2,8,8,8,19,1,1,14,8,1,15,17,8,19,15,8,1,8,1,1,11,17,8,8,15,15,15,11,10,14,15,16,8,3,8,9,2,9,15,1,8,1,11,3,7,7,17
Mar,24,8,15,15,17,17,17,11,17,9,17,8,8,17,17,8,8,15,8,7,17,1,7,8,2,17,9,10,8,1,3,11,15,19,8,14,8,8,11,8,16,7,18,8,17,7,3,1,14,14,15,8,7,11,17,16,14,1,8,16,10,8,15,1,17,1,8,3,1,16,8
Mar,25,17,17,14,15,8,9,8,17,17,5,9,17,8,11,10,5,15,8,8,14,1,8,8,15,8,9,8,8,1,1,7,8,8,1,17,10,15,10,8,15,15,8,8,10,3,1,1,11,11,17,9,11,8,5,15,11,1,1,15,10,8,10,1,8,3,7,3,9,8,8
Mar,26,8,17,14,10,10,9,10,11,10,5,9,8,9,9,4,5,11,17,8,14,1,18,1,15,10,1,10,15,1,5,1,11,19,11,17,1,8,9,8,14,11,10,8,10,1,1,1,8,17,10,7,8,1,8,14,11,1,3,10,8,5,1,8,8,15,2,10,9,3,8
Mar,27,18,1,8,16,1,7,10,15,3,3,2,8,9,7,11,10,1,15,11,14,1,14,1,15,3,10,10,11,1,2,10,8,14,14,17,2,10,19,3,8,10,17,8,3,9,7,7,10,17,18,16,7,3,8,14,8,1,1,10,8,10,14,17,8,17,6,10,1,15,15
Mar,28,14,2,11,17,1,1,9,8,17,1,8,10,1,15,5,1,9,10,8,17,1,10,8,7,2,9,19,1,1,17,7,10,10,10,8,1,3,15,1,10,7,17,8,3,15,1,7,7,7,15,14,7,1,3,17,1,1,7,17,8,10,11,8,15,15,10,3,8,11,1
Mar,29,4,14,11,5,1,1,1,8,11,18,8,17,17,15,10,15,8,7,8,8,17,15,7,9,8,19,17,3,9,10,16,9,10,10,3,1,3,10,3,1,8,8,10,1,8,15,15,8,7,10,14,1,1,4,17,1,8,8,8,9,2,8,10,8,17,1,4,15,8,9
Mar,30,11,15,10,5,8,1,19,8,11,16,8,5,19,14,5,15,8,8,8,8,15,8,2,14,8,8,5,10,2,8,15,9,10,8,7,1,1,10,11,9,8,8,10,17,15,1,17,10,8,7,11,17,8,10,18,1,5,8,8,7,11,10,8,1,10,3,5,15,1,3
Mar,31,8,15,7,8,8,19,10,1,9,15,9,8,15,11,8,10,8,15,8,8,8,14,17,10,1,8,10,8,8,8,10,4,9,8,7,9,8,3,15,1,1,15,10,10,15,3,17,7,8,1,17,15,9,18,18,1,5,19,3,2,15,10,9,7,8,9,10,10,9,3
Apr,1,8,15,1,8,8,16,17,1,7,15,15,9,8,8,8,1,10,11,17,8,8,11,8,5,1,9,10,3,5,9,1,9,19,10,1,18,8,15,17,17,1,1,11,1,10,8,17,3,10,15,7,15,1,1,16,7,9,14,17,11,8,3,10,1,19,16,17,15,8,17
Apr,2,8,8,19,8,8,14,11,19,1,15,8,19,9,3,8,8,8,11,8,8,8,10,10,10,8,3,15,3,10,9,19,19,15,1,9,8,1,15,17,10,1,3,11,16,9,8,10,11,8,8,3,10,1,1,11,18,17,11,11,8,10,1,10,8,5,10,15,8,1,8
Apr,3,1,8,18,18,8,17,15,19,17,5,8,3,15,1,15,8,8,11,9,15,8,1,10,2,15,8,15,7,10,19,8,8,14,17,7,10,1,15,10,8,1,1,17,15,1,1,9,17,9,15,10,15,1,1,15,1,5,11,17,15,16,3,1,15,9,9,15,15,1,8
Apr,4,17,8,8,9,9,15,11,8,11,10,8,8,10,17,5,15,10,11,1,11,7,8,15,11,5,8,15,3,15,17,18,8,8,8,15,1,1,1,7,8,1,8,7,6,1,1,1,9,1,15,8,9,8,8,10,19,8,11,15,10,8,8,4,15,3,11,10,5,1,3
Apr,5,5,11,8,19,18,8,11,8,16,1,10,15,10,17,8,8,6,8,2,10,1,8,8,8,9,9,15,3,15,11,10,1,1,11,8,7,1,1,9,8,1,8,10,8,8,8,9,3,3,14,8,3,9,8,8,10,1,9,17,7,9,10,1,15,3,5,7,3,3,3
Apr,6,8,11,8,6,8,8,15,8,16,15,1,5,1,5,10,10,19,8,8,1,1,15,8,8,1,8,10,3,17,15,8,1,9,18,17,19,10,8,19,1,3,10,10,10,8,15,8,3,8,14,3,17,15,10,15,4,1,1,8,1,16,17,8,15,1,8,1,1,8,3
Apr,7,7,8,15,10,8,8,8,15,8,15,4,8,1,5,8,8,11,8,15,8,8,10,8,8,19,15,18,3,8,5,8,1,19,17,1,15,8,8,19,7,1,8,8,1,1,17,8,3,10,15,1,14,6,17,5,8,1,9,8,17,8,8,6,17,19,8,8,10,1,10
Apr,8,9,8,15,5,17,1,5,15,8,8,8,7,15,15,8,5,5,8,11,8,1,10,1,8,19,11,15,1,7,8,9,8,8,8,10,15,15,8,17,1,3,1,7,17,15,10,8,1,17,14,1,8,15,8,8,8,1,19,7,5,8,15,8,14,19,14,6,2,9,10
Apr,9,19,8,14,8,11,8,18,11,8,8,3,3,5,5,8,10,11,10,10,1,1,10,7,1,17,8,14,8,2,8,6,6,19,8,9,15,15,8,8,17,3,10,8,11,8,10,8,15,10,11,3,8,11,8,1,8,1,17,2,5,10,8,10,10,8,10,15,15,19,8
Apr,10,8,8,1,8,8,8,15,8,15,8,6,1,5,9,8,15,11,1,8,1,1,17,4,1,15,1,14,1,8,9,6,10,4,1,17,8,14,8,10,8,1,4,9,14,9,17,3,10,10,11,3,8,10,8,4,8,3,10,1,17,17,1,10,14,15,8,10,17,8,1
Apr,11,10,15,11,8,8,8,5,10,8,8,5,3,10,19,9,15,5,15,8,1,8,11,18,18,15,1,10,8,8,19,8,19,15,17,8,8,10,8,6,10,3,3,15,17,18,8,1,10,17,9,3,3,1,10,1,1,4,3,8,15,1,10,2,14,15,8,7,17,17,1
Apr,12,10,11,8,1,8,8,5,3,1,3,8,8,9,4,1,8,19,11,6,4,8,11,9,15,18,8,7,8,10,15,1,19,17,10,8,10,7,8,18,15,1,4,8,8,8,8,1,1,15,7,1,17,2,10,10,1,1,9,8,17,1,8,4,11,8,1,1,11,15,2
Apr,13,15,14,17,1,11,15,15,1,1,4,9,8,9,5,1,8,10,8,6,1,9,8,15,15,10,8,8,8,8,14,1,4,8,1,1,1,2,8,10,6,1,10,8,7,10,8,1,19,11,9,10,10,15,10,9,8,1,8,3,1,10,9,10,10,10,8,1,8,17,16
Apr,14,8,10,8,1,11,15,14,10,1,18,10,11,18,5,8,4,8,8,9,8,9,10,15,14,19,10,8,8,1,16,8,11,15,1,1,3,8,6,19,8,8,6,15,1,5,8,8,8,8,17,10,7,8,15,9,15,10,8,19,14,9,19,1,7,9,15,10,1,10,15
Apr,15,17,11,8,3,14,9,10,8,1,9,8,10,9,1,5,10,8,9,15,8,10,8,8,14,8,8,19,8,18,10,19,10,11,17,1,8,15,1,17,1,8,3,8,17,8,8,1,10,7,8,18,10,8,1,10,11,6,10,15,17,5,6,9,3,3,15,2,1,8,8
Apr,16,10,8,4,8,1,1,14,8,17,10,8,1,19,1,5,5,11,1,6,6,4,14,8,14,8,10,8,1,14,7,8,1,8,17,1,8,14,9,8,16,2,5,8,6,8,8,1,10,3,8,3,8,1,8,8,5,11,10,11,10,6,11,8,3,8,14,3,8,8,3
Apr,17,10,15,8,17,10,8,10,8,17,10,5,1,8,1,3,5,5,10,8,10,15,11,10,14,1,10,8,19,17,8,6,1,3,8,10,11,10,3,3,10,11,8,10,8,8,10,8,8,15,10,15,10,19,8,8,3,10,10,15,19,8,15,8,18,9,14,8,15,8,8
Apr,18,8,15,3,1,19,15,8,15,8,6,9,8,8,8,17,8,15,15,8,4,17,10,15,8,10,11,8,15,11,8,5,15,1,10,4,17,2,8,8,10,9,1,9,1,10,15,9,15,15,8,8,9,19,2,8,18,19,19,8,17,8,10,8,10,14,15,8,8,4,10
Apr,19,8,14,19,17,15,17,8,15,8,15,6,10,8,3,17,19,15,10,4,10,15,8,11,10,9,18,6,15,8,10,10,8,18,7,8,10,8,8,1,8,10,1,1,9,1,15,19,15,10,1,8,8,14,8,15,15,15,5,8,6,4,1,8,15,8,15,1,8,3,10
Apr,20,17,14,19,5,15,5,8,10,8,10,5,8,8,8,5,10,17,10,5,17,14,15,8,1,8,15,8,15,15,1,8,8,19,1,10,1,10,10,9,1,15,3,8,1,10,5,19,1,17,9,6,8,15,9,15,11,10,1,1,1,8,1,8,10,8,14,1,8,1,10
Apr,21,6,10,4,6,17,8,9,17,5,17,11,8,8,1,17,10,11,8,5,15,16,1,8,1,8,15,19,15,10,8,10,8,5,8,19,1,15,17,8,1,15,1,6,8,6,8,5,1,11,19,15,8,15,9,10,15,17,9,6,9,9,4,4,17,8,15,8,6,5,3
Apr,22,5,1,1,10,5,8,6,9,5,17,8,19,8,8,5,15,5,10,8,8,15,1,8,8,8,8,4,17,16,19,6,15,8,18,8,1,15,11,8,3,10,1,1,18,8,4,19,1,10,9,15,8,10,19,10,10,15,19,10,9,8,8,5,11,8,15,8,17,4,19
Apr,23,5,8,8,15,5,8,8,9,8,9,8,6,19,8,9,15,10,9,8,19,11,1,10,11,8,8,11,10,10,15,16,8,10,9,8,10,15,15,8,8,8,8,3,19,8,1,15,1,17,10,15,1,8,8,9,7,15,1,15,17,10,6,8,8,1,1,9,11,1,17
Apr,24,8,8,8,15,5,8,8,19,10,9,9,8,14,9,9,15,8,8,1,15,17,1,1,17,8,1,8,9,8,11,17,15,4,15,10,1,15,19,1,17,8,8,3,6,15,8,8,8,8,3,10,1,8,8,17,2,15,8,14,5,15,8,9,8,8,1,19,8,19,8
Apr,25,19,8,8,17,8,8,5,5,6,19,18,8,8,8,4,10,8,10,19,15,17,10,1,8,10,5,1,15,9,8,6,15,8,8,17,8,10,17,1,17,10,8,3,8,8,10,5,5,1,8,19,1,8,8,8,15,1,8,11,1,3,8,1,8,8,4,5,3,8,1
Apr,26,17,10,8,6,18,17,5,10,5,5,4,1,8,3,5,10,8,10,8,8,8,17,19,3,8,10,15,15,1,3,8,3,8,4,17,8,10,8,1,1,10,8,8,8,8,15,8,8,1,15,15,1,8,1,1,15,19,10,5,3,8,15,1,10,8,1,6,3,19,1
Apr,27,14,8,5,8,15,8,8,11,9,10,8,19,5,8,15,4,15,6,6,10,8,8,8,1,8,10,8,10,19,3,10,1,1,8,15,10,15,8,1,8,9,1,15,8,8,15,8,10,3,6,14,8,1,1,8,17,16,8,10,1,10,1,3,1,1,3,8,3,8,1
Apr,28,14,4,3,8,5,8,1,5,5,8,8,8,8,10,15,5,11,6,10,8,10,8,8,8,19,8,5,8,15,17,8,19,17,8,1,1,6,8,9,1,4,1,17,9,1,10,17,5,1,15,8,8,8,1,8,8,8,8,9,8,4,8,17,19,1,3,10,1,5,1
Apr,29,11,1,8,8,17,8,1,8,5,17,5,8,8,5,10,15,17,8,19,5,8,4,8,8,16,8,8,4,10,17,6,19,5,5,8,3,8,10,19,16,8,10,17,9,8,8,11,1,15,10,10,8,15,9,8,1,8,8,5,4,8,8,8,17,1,3,8,8,1,8
Apr,30,17,8,17,1,8,8,1,17,8,5,8,8,9,10,19,15,8,8,15,8,1,8,8,8,14,8,10,8,1,15,1,3,8,5,8,8,5,15,5,14,4,5,17,15,8,3,6,1,8,8,8,1,10,19,8,1,10,14,8,5,8,4,15,15,1,4,10,15,10,8
May,1,10,8,5,5,8,8,1,14,8,8,8,1,9,9,8,15,8,5,10,8,8,10,4,1,16,8,19,8,8,1,1,4,9,5,8,8,9,4,8,10,5,15,6,15,17,15,8,5,10,8,9,1,1,16,8,1,9,4,9,7,10,8,17,8,4,1,8,15,5,8
May,2,1,8,8,5,8,5,4,15,8,19,10,8,9,5,9,10,10,11,17,3,1,15,8,1,10,5,8,8,1,1,3,15,19,7,1,8,18,5,15,8,6,8,15,15,17,15,8,4,5,1,18,8,1,11,17,1,17,17,8,10,8,9,5,10,5,1,8,8,8,8
May,3,17,5,19,5,5,5,5,15,15,8,1,4,3,8,19,8,5,8,14,8,8,15,10,1,8,5,8,8,1,15,1,5,4,1,8,8,5,8,11,1,1,18,8,8,10,10,17,8,15,14,3,8,19,4,5,3,8,6,5,19,8,18,8,8,5,8,10,8,8,8
May,4,8,4,1,8,17,9,8,15,15,8,8,8,3,4,17,8,8,8,5,1,4,15,15,1,15,8,10,5,10,8,15,4,10,8,8,5,8,8,15,1,1,4,17,8,5,17,15,15,8,17,3,8,5,8,8,3,6,11,3,5,8,15,8,10,8,8,9,5,10,8
May,5,8,8,10,8,17,19,8,5,15,17,8,8,18,10,5,10,8,15,5,10,1,8,8,4,6,4,8,5,8,15,5,8,8,8,1,8,5,8,8,9,4,6,17,8,17,17,6,8,1,8,19,18,15,9,4,8,8,5,15,1,8,14,8,8,8,8,1,8,10,8
May,6,10,8,8,8,5,6,8,5,8,6,8,4,18,15,10,10,10,6,8,10,4,5,10,1,6,4,8,6,8,17,5,8,9,10,17,8,10,9,8,9,8,6,1,8,9,15,8,15,1,1,8,5,10,19,8,4,19,8,9,3,17,10,8,4,8,8,8,4,4,8
May,7,8,8,4,6,8,5,8,4,5,8,5,8,4,15,15,8,15,10,8,8,8,5,9,5,9,4,8,8,8,8,5,1,5,4,1,8,3,9,17,3,8,8,1,10,19,10,8,17,8,1,8,4,8,15,8,8,4,19,4,19,8,10,8,5,4,8,1,8,8,6
May,8,8,8,5,8,8,8,8,1,4,15,8,6,4,15,15,8,15,10,8,8,8,10,8,4,17,4,8,8,4,1,1,4,10,8,4,6,4,3,5,5,5,8,1,1,15,19,4,8,19,4,1,15,8,14,8,3,8,4,8,4,15,1,4,8,1,4,15,5,1,10
May,9,15,9,5,8,8,9,1,8,8,8,8,10,18,8,5,8,15,8,8,1,8,8,5,5,5,4,10,8,8,8,8,1,4,5,1,1,8,10,6,6,8,8,10,8,15,8,10,8,5,8,4,10,1,15,8,3,9,1,8,8,6,8,19,8,1,8,10,5,8,9
May,10,15,1,8,9,8,4,9,5,8,8,5,8,15,8,5,10,14,15,8,8,8,10,8,5,5,4,19,8,8,9,15,1,8,8,3,9,8,19,8,6,9,8,15,8,15,8,10,8,5,8,8,8,1,15,19,3,15,1,1,19,8,8,5,8,1,8,10,5,8,15
May,11,6,15,5,8,4,4,15,8,8,1,8,8,15,1,8,10,8,8,8,3,8,1,8,5,8,8,15,8,8,3,8,1,8,8,3,5,9,8,10,8,4,8,15,8,4,17,8,1,8,8,5,8,8,8,8,3,4,8,1,17,10,8,4,9,8,4,8,19,8,15
May,12,1,15,15,8,3,8,6,5,10,4,4,8,8,8,8,9,8,8,8,17,1,1,9,4,5,15,8,15,8,8,10,1,19,9,3,8,9,1,11,1,8,4,5,10,8,15,6,1,3,4,15,8,15,18,5,1,5,8,8,8,8,1,8,14,8,4,8,5,8,8
